Year,Zip_Code,Number_of_Asthma_ED_Visits,Age_Adjusted_Rate_of_Asthma_ED_V,Age_Group,county
2013,93458,107,28.3,18+,Santa Barbara
2013,93463,15,24.7,18+,Santa Barbara
2013,93465,25,48.1,18+,San Luis Obispo
2013,93501,33,78.9,18+,Kern
2013,93505,51,45.9,18+,Kern
2013,93510,19,32.6,18+,Los Angeles
2013,93514,33,34.3,18+,Inyo
2013,93534,340,118.4,18+,Los Angeles
2013,93535,492,97.3,18+,Los Angeles
2013,93536,192,35.2,18+,Los Angeles
2013,93543,39,41.3,18+,Los Angeles
2013,93546,28,36.4,18+,Mono
2013,93550,404,79.4,18+,Los Angeles
2013,93551,112,30.2,18+,Los Angeles
2013,93552,123,46.4,18+,Los Angeles
2013,93555,118,53.0,18+,Kern
2013,93560,48,34.0,18+,Kern
2013,93561,76,26.7,18+,Kern
2013,93591,37,75.6,18+,Los Angeles
2013,93602,12,36.5,18+,Fresno
2013,93610,46,25.7,18+,Madera
2013,93611,106,34.0,18+,Fresno
2013,93612,159,65.8,18+,Fresno
2013,93618,35,18.4,18+,Tulare
2013,93619,30,13.5,18+,Fresno
2013,93620,79,115.9,18+,Merced
2013,93622,20,28.2,18+,Fresno
2013,93625,24,45.4,18+,Fresno
2013,93630,35,29.3,18+,Fresno
2013,93631,46,36.8,18+,Fresno
2013,93635,272,101.5,18+,Merced
2013,93636,17,17.9,18+,Madera
2013,93637,87,33.8,18+,Madera
2013,93638,157,47.2,18+,Madera
2013,93640,18,29.9,18+,Fresno
2013,93646,32,56.8,18+,Fresno
2013,93647,21,29.7,18+,Tulare
2013,93648,51,53.3,18+,Fresno
2013,93650,39,164.7,18+,Fresno
2013,93654,84,41.7,18+,Fresno
2013,93656,14,32.7,18+,Fresno
2013,93657,80,31.8,18+,Fresno
2013,93662,120,57.9,18+,Fresno
2013,93667,14,69.3,18+,Fresno
2013,93701,96,129.5,18+,Fresno
2013,93702,263,89.5,18+,Fresno
2013,93703,224,108.7,18+,Fresno
2013,93704,128,64.4,18+,Fresno
2013,93705,197,75.9,18+,Fresno
