Year,Zip_Code,Number of Visits,Age-adjusted rate,Age_Group,County
2013,92084,87.0,25.8,0,SAN DIEGO
2013,92101,197.0,59.7,0,SAN DIEGO
2013,92102,179.0,61.6,0,SAN DIEGO
2013,92103,98.0,33.6,0,SAN DIEGO
2013,92104,164.0,42.5,0,SAN DIEGO
2013,92105,259.0,53.2,0,SAN DIEGO
2013,92106,22.0,13.8,0,SAN DIEGO
2013,92107,51.0,19.0,0,SAN DIEGO
2013,92108,27.0,19.8,0,SAN DIEGO
2013,92109,54.0,16.7,0,SAN DIEGO
2013,92110,45.0,20.4,0,SAN DIEGO
2013,92111,109.0,29.0,0,SAN DIEGO
2013,92113,282.0,87.0,0,SAN DIEGO
2013,92114,355.0,75.9,0,SAN DIEGO
2013,92115,195.0,39.7,0,SAN DIEGO
2013,92116,64.0,25.7,0,SAN DIEGO
2013,92117,89.0,22.3,0,SAN DIEGO
2013,92118,19.0,11.7,0,SAN DIEGO
2013,92119,36.0,18.0,0,SAN DIEGO
2013,92120,55.0,25.9,0,SAN DIEGO
2013,92122,37.0,10.7,0,SAN DIEGO
2013,92123,54.0,24.9,0,SAN DIEGO
2013,92124,30.0,11.4,0,SAN DIEGO
2013,92126,114.0,22.6,0,SAN DIEGO
2013,92127,25.0,8.0,0,SAN DIEGO
2013,92128,44.0,10.6,0,SAN DIEGO
2013,92129,65.0,17.8,0,SAN DIEGO
2013,92130,30.0,9.8,0,SAN DIEGO
2013,92131,24.0,12.8,0,SAN DIEGO
2013,92139,104.0,39.0,0,SAN DIEGO
2013,92154,167.0,29.4,0,SAN DIEGO
2013,92173,67.0,33.4,0,SAN DIEGO
2013,92201,179.0,39.4,0,RIVERSIDE
2013,92203,36.0,18.9,0,RIVERSIDE
2013,92211,40.0,23.6,0,RIVERSIDE
2013,92220,139.0,65.1,0,RIVERSIDE
2013,92223,143.0,44.8,0,RIVERSIDE
2013,92225,100.0,50.3,0,RIVERSIDE
